"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
7.7,0.19,"Yes",4.35,0.7,77.33,41.52,105.6,0.21,"SWV"
7.7,0.22,"Yes",6.25,2.5,104.38,67.59,174.9,0.19,"SWV"
7.7,0.22,"Yes",6.25,2.5,104.38,67.59,184,0.2,"SWV"
7.7,0.22,"Yes",6.25,2.5,104.38,67.59,161.7,0.2,"SWV"
7.7,0.18,"Yes",3,1,51,31.38,153.3,0.18,"SWV"
7.7,0.18,"NO",5,1.5,85.75,51.42,174.3,0.16,"SWV"
7.7,0.5,"Yes",2,0.5,34.75,20.04,120.8,0.49,"SWV"
7.7,0.29,"Yes",1.45,0.9,22.78,17.38,155.3,0.24,"SWV"
7.7,0.18,"Yes",1.65,0.5,28.28,16.99,153.7,0.19,"SWV"
7.7,0.18,"Yes",2.7,0.5,47.7,26.12,139.6,0.21,"SWV"
7.7,0.25,"Yes",6,0.5,108.75,54.8,134.1,0.24,"SWV"
7.7,0.5,"Yes",5,2,83.51,54.08,188.5,0.49,"SWV"
7.7,0.29,"Yes",3,2,46.51,36.7,123.1,0.23,"SWV"
7.7,0.29,"Yes",3.25,1,55.63,33.56,151.5,0.3,"SWV"
7.7,0.5,"Yes",5.45,2,91.83,57.99,213,0.51,"SWV"
7.7,0.25,"Yes",4.5,0.5,81,41.76,111,0.28,"SWV"
7.7,0.14,"NO",5.05,2.5,82.18,57.17,207.8,0.12,"SWV"
7.7,0.5,"Yes",6,0.5,108.75,54.8,133.6,0.4,"SWV"
7,0.12,"NO",10.4,2,183.41,101,168.4,0.09,"SWV"
7,0.5,"Yes",8.7,2.4,150.16,88.35,156.9,0.38,"SWV"
7,0.5,"Yes",8.7,2.4,150.16,88.35,153.3,0.38,"SWV"
7,0.4,"NO",9,7,135.05,115.4,155.8,0.21,"SWV"
7,0.2,"Yes",4.8,2.5,77.56,54.99,124.3,0.16,"SWV"
7,0.5,"Yes",5.8,4,89.31,71.65,198.8,0.34,"SWV"
7,0.5,"Yes",5.5,2.8,89.16,62.67,149.1,0.33,"SWV"
7,0.55,"Yes",10.25,1.4,183.33,96.51,158.8,0.37,"SWV"
7,0.5,"Yes",10,1,180.5,92.21,183,0.39,"SWV"
7,0.5,"Yes",7,3,116.01,76.77,193.8,0.43,"SWV"
7,0.5,"Yes",9.5,3,162.26,98.49,169.9,0.34,"SWV"
7,0.5,"Yes",6.05,2.2,102.03,64.26,211.2,0.42,"SWV"
7,0.6,"Yes",9,5.8,140.42,109.03,197.3,0.45,"SWV"
7,0.5,"NO",6,4,93.01,73.39,230.7,0.38,"SWV"
7,0.6,"NO",6.5,6,93.27,88.36,205.5,0.36,"SWV"
7,0.6,"NO",6.15,2,104.78,64.07,211.6,0.54,"SWV"
7,0.6,"Yes",5.25,2,88.36,55.98,197,0.54,"SWV"
7,0.6,"Yes",7.15,2.5,121.03,75.42,209.3,0.48,"SWV"
7,0.6,"Yes",7.8,2.9,131.26,83.19,199.1,0.44,"SWV"
7,0.6,"NO",6.8,2,117.03,69.45,242.5,0.58,"SWV"
7,0.6,"Yes",7.65,2,132.53,77.1,206.2,0.54,"SWV"
7,0.6,"NO",4.5,2.1,73.81,50.26,206.4,0.53,"SWV"
7,0.6,"NO",4.9,2,81.66,53.21,224.5,0.55,"SWV"
7,0.5,"Yes",6.25,3.2,101.23,71.31,181.4,0.42,"SWV"
7,0.5,"Yes",8,2,139.01,80.15,217.9,0.51,"SWV"
7,0.5,"Yes",4.25,1.5,71.88,44.9,168.5,0.46,"SWV"
7,0.52,"Yes",9,2.5,155.26,91.49,190.7,0.45,"SWV"
7,0.5,"Yes",18,3.7,316.36,176.08,188.2,0.42,"SWV"
7,0.5,"Yes",7.7,3.7,126,86.35,181.3,0.39,"SWV"
7,0.5,"Yes",7.5,1.5,132,73.14,215.6,0.51,"SWV"
7,0.35,"Yes",3.95,3,59.58,50.26,159,0.25,"SWV"
7,0.52,"Yes",4.5,2.6,71.56,52.92,182.4,0.43,"SWV"
7,0.5,"Yes",6.3,2.5,105.31,68.03,190.5,0.45,"SWV"
7,0.5,"Yes",6,2.3,100.66,64.36,190.7,0.45,"SWV"
7,0.5,"Yes",3.2,2.3,48.86,40.03,206.7,0.37,"SWV"
7,0.6,"Yes",5,4,74.51,64.7,197.2,0.41,"SWV"
7,0.6,"Yes",9.15,2.9,156.23,94.92,192,0.48,"SWV"
7,0.5,"Yes",2.5,1,41.75,27.04,173.2,0.49,"SWV"
7,0.6,"Yes",7.5,0.7,135.6,68.89,142.8,0.47,"SWV"
7,0.6,"Yes",6.5,1.6,113.05,64.99,158.7,0.48,"SWV"
7,0.6,"Yes",2.5,1,41.75,27.04,205.8,0.56,"SWV"
7,0.6,"Yes",5,2.4,81.71,56.2,180.6,0.44,"SWV"
7,0.5,"Yes",8.2,3.5,135.96,89.85,166.4,0.32,"SWV"
7,0.6,"Yes",5,1.7,84.86,52.48,160.5,0.48,"SWV"
7,0.6,"Yes",6.75,2,115.88,69.28,168.2,0.49,"SWV"
7,0.5,"Yes",6,1.5,104.25,60.11,145.3,0.43,"SWV"
7,0.5,"Yes",7,2.1,120.28,71.72,162.8,0.37,"SWV"
7,0.6,"Yes",6.5,1.2,114.85,62.86,166.2,0.5,"SWV"
7,0.5,"Yes",7,0.5,127.25,63.49,175.1,0.5,"SWV"
7,0.4,"Yes",3.35,2,52.98,39.74,161,0.31,"SWV"
7,0.5,"Yes",5.3,2.1,88.83,56.95,175.5,0.42,"SWV"
7,0.6,"Yes",6.5,1.5,113.5,64.45,151.6,0.46,"SWV"
7,0.6,"Yes",5.5,2.1,92.53,58.69,165.1,0.47,"SWV"
7,0.6,"Yes",5.25,3,83.63,61.56,140.2,0.39,"SWV"
7,0.6,"Yes",5.75,2.5,95.13,63.25,153.1,0.42,"SWV"
7,0.6,"Yes",5.5,2.5,90.51,61.08,124.5,0.37,"SWV"
7,0.6,"Yes",6.15,3.1,100.06,69.65,189.2,0.46,"SWV"
7,0.5,"Yes",7.5,4,120.76,86.43,178.7,0.37,"SWV"
7,0.5,"Yes",9.5,4,157.76,103.81,184.1,0.39,"SWV"
7,0.5,"Yes",8,3.9,130.46,90.24,152.7,0.29,"SWV"
7,0.4,"Yes",3.25,2.5,48.88,41.52,205.1,0.31,"SWV"
7,0.4,"NO",3.55,3,52.09,46.74,240.9,0.29,"SWV"
7,0.4,"Yes",18.5,2.4,331.68,173.25,199.7,0.37,"SWV"
7,0.4,"NO",4.85,3.5,73.99,60.74,271.5,0.32,"SWV"
7,0.4,"NO",16,3.5,280.26,157.64,280.4,0.45,"SWV"
7,0.4,"NO",9,2.2,156.61,89.9,256.3,0.45,"SWV"
7,0.4,"NO",6.5,3.5,104.51,75.08,298.2,0.36,"SWV"
7,0.4,"NO",10.5,2.2,184.36,102.93,240.7,0.46,"SWV"
7,0.4,"NO",5.85,3.5,92.49,69.43,271.4,0.34,"SWV"
7,0.34,"Yes",6.85,3.5,110.99,78.12,199.8,0.28,"SWV"
7,0.3,"NO",12.5,2.9,218.21,124.03,247.9,0.32,"SWV"
7,0.5,"Yes",6.5,3.2,105.86,73.49,164,0.38,"SWV"
7,0.43,"Yes",13.45,3.7,232.19,136.54,159.8,0.41,"SWV"
7,0.35,"NO",5.3,1.6,90.85,54.56,237.7,0.4,"SWV"
7,0.5,"Yes",4.5,3.2,68.86,56.11,185.2,0.36,"SWV"
7,0.5,"Yes",4.5,3.6,67.06,58.23,178.3,0.35,"SWV"
7,0.5,"Yes",4.5,3.6,67.06,58.23,201.4,0.35,"SWV"
7,0.4,"Yes",5.5,2,92.76,58.42,162.1,0.34,"SWV"
7,0.6,"Yes",5.5,3,88.26,63.73,202.1,0.45,"SWV"
7,0.4,"Yes",6.5,2,117.42,73.27,178.6,0.34,"SWV"
7,0.5,"Yes",6.5,4,102.26,77.74,218.8,0.4,"SWV"
7,0.5,"Yes",2.5,1,41.75,27.04,214.8,0.48,"SWV"
7,0.5,"Yes",7,0.5,127.25,63.49,160.4,0.44,"SWV"
7.6,0.4,"Yes",6,1,106.5,57.45,203.6,0.44,"SWV"
7.6,0.4,"Yes",12.7,3,221.46,126.3,185.8,0.34,"SWV"
7.6,0.4,"Yes",3.25,1.5,53.38,36.21,194.2,0.38,"SWV"
