Mw,Liq,Crit. Depth,Depthto,Svo,Esvo,Amax,rd,VS1,CSR,DWF,CSR*,Pl,CRR
6.7,NO,4.3,1.4,73.25,44.81,0.12,0.96,144.4,0.12,1.168150701,0.103,-0.561539298,0.158385116
6.7,NO,4.6,2,76.11,50.6,0.14,0.91,140.9,0.12,1.168150701,0.103,-0.398945439,0.146155098
6.7,NO,4.55,2,75.18,50.17,0.14,0.76,172.2,0.1,1.168150701,0.086,-2.8335959,0.405718541
6.7,NO,7.5,2.6,127.06,78.99,0.12,0.76,160.4,0.09,1.168150701,0.077,-2.538912792,0.315656191
6.7,Yes,5.75,0.5,104.13,52.62,0.12,0.87,167.9,0.13,1.168150701,0.111,-1.501035715,0.272984019
6.7,NO,5.25,2.5,85.88,58.9,0.12,0.86,165.2,0.1,1.168150701,0.086,-2.397154174,0.326996904
6.7,Yes,4.5,0.5,80.54,41.54,0.12,0.86,143.1,0.13,1.168150701,0.111,-0.178910721,0.142018895
6.7,NO,5.75,0.5,104.13,52.62,0.12,0.79,165.1,0.12,1.168150701,0.103,-1.655741995,0.272008493
6.5,Yes,3.55,2,56.68,41.48,0.5,0.91,147.1,0.41,1.216638441,0.337,4.115484069,0.053629611
6.5,Yes,3.3,2,52.06,39.3,0.5,0.92,155.7,0.4,1.216638441,0.329,3.576491599,0.068292699
6.5,NO,3.15,2,49.28,38,0.5,0.93,203.9,0.39,1.216638441,0.321,0.11404737,0.368624843
6.5,NO,3.65,2,58.53,42.34,0.5,0.91,195.9,0.41,1.216638441,0.337,0.990620013,0.251275152
6.5,NO,4.25,2.5,67.38,50.21,0.12,0.9,117.1,0.09,1.216638441,0.074,-0.818067046,0.134846203
6.5,Yes,3,1.4,49.2,33.51,0.51,0.93,160.3,0.45,1.216638441,0.370,3.796894032,0.068899794
6.5,Yes,4.4,2,72.41,48.86,0.21,0.89,98.3,0.18,1.216638441,0.148,2.505529765,0.052175461
6.5,NO,4.1,2.7,63.71,49.97,0.12,0.9,114.6,0.09,1.216638441,0.074,-0.739558393,0.12971405
6.5,NO,4.65,1.5,79.28,48.38,0.13,0.88,122.9,0.12,1.216638441,0.099,0.150971442,0.111371886
6.5,NO,4.65,1.5,79.28,48.38,0.13,0.88,136.7,0.12,1.216638441,0.099,-0.381897821,0.144928813
6.5,NO,4.65,1.5,79.28,48.38,0.13,0.88,133.6,0.12,1.216638441,0.099,-0.253246065,0.136000321
5.9,NO,14.8,1.4,267.73,135.78,0.08,0.51,152.7,0.05,1.385504241,0.036,-5.181738674,0.647468009
5.9,NO,6.15,1.4,107.7,60.62,0.08,0.81,153.8,0.07,1.385504241,0.051,-3.894024335,0.479668749
5.9,NO,3.3,2,52.06,39.3,0.02,0.93,158.5,0.02,1.385504241,0.014,-9.225361106,1.910876322
5.9,NO,3.3,2,52.06,39.3,0.02,0.93,155.7,0.02,1.385504241,0.014,-9.072981533,1.772248647
5.9,NO,3.15,2,49.28,38,0.02,0.93,203.9,0.02,1.385504241,0.014,-12.43297524,9.326948741
5.9,NO,3.4,2,53.91,40.17,0.02,0.92,195.9,0.02,1.385504241,0.014,-11.75985682,6.687384069
5.9,Yes,4.25,2.5,67.38,50.21,0.36,0.88,117.1,0.28,1.385504241,0.202,3.247714457,0.056239776
5.9,NO,3.7,1.4,62.15,39.59,0.06,0.91,128.7,0.06,1.385504241,0.043,-3.396602184,0.321531933
5.9,Yes,4.4,2,72.41,48.86,0.2,0.88,98.3,0.17,1.385504241,0.123,1.747228875,0.071682023
5.9,Yes,4.1,2.7,63.71,49.97,0.3,0.89,114.6,0.22,1.385504241,0.159,2.350341715,0.068853691
5.9,Yes,4.65,1.5,79.28,48.38,0.27,0.87,122.9,0.25,1.385504241,0.180,2.594031101,0.069364488
5.9,Yes,4.65,1.5,79.28,48.38,0.27,0.87,136.7,0.25,1.385504241,0.180,2.061161838,0.090264369
5.9,Yes,4.65,1.5,79.28,48.38,0.27,0.87,133.6,0.25,1.385504241,0.180,2.189813594,0.084703537
7.7,Yes,6,1,106.5,57.45,0.2,0.74,145.2,0.18,0.969216292,0.186,1.80370957,0.073809181
7.7,Yes,5,1,88,48.76,0.23,0.9,184.2,0.24,0.969216292,0.248,0.645782112,0.174419724
7.7,Yes,4,1,69.5,40.07,0.25,0.92,154.5,0.26,0.969216292,0.268,2.819391334,0.06453532
7.7,Yes,7.075,1.4,124.59,68.92,0.25,0.66,164.9,0.19,0.969216292,0.196,0.978214186,0.117160758
7.7,Yes,4,1.5,67.25,42.73,0.25,0.88,158.3,0.23,0.969216292,0.237,2.119446926,0.080685114
7.7,Yes,5.05,1,88.93,49.2,0.13,0.79,125.9,0.12,0.969216292,0.124,0.965963135,0.074445676
7.7,Yes,6,1,106.5,57.45,0.12,0.83,139,0.12,0.969216292,0.124,0.444610463,0.096326689
7.7,Yes,4.4,0.4,79.6,40.36,0.28,0.76,123.4,0.27,0.969216292,0.279,4.333066335,0.031716191
7,Yes,4.4,0.4,79.6,40.36,0.12,0.76,123.4,0.11,1.101462433,0.100,0.180847539,0.100594486
7,Yes,6,1,106.5,57.45,0.12,0.82,139,0.11,1.101462433,0.100,-0.426114881,0.13578671
6.9,Yes,2.85,0.8,49.13,29.02,0.5,0.94,157.2,0.52,1.122938002,0.463,4.875863365,0.046710064
6.9,Yes,2,0.8,33.4,21.63,0.29,0.96,141.7,0.28,1.122938002,0.249,3.136301482,0.059423485
6.9,NO,2.4,1,39.9,26.17,0.46,0.95,275.2,0.43,1.122938002,0.383,-7.513356693,17.62760141
6.9,Yes,2.8,1.7,44.06,33.32,0.36,0.94,123.2,0.29,1.122938002,0.258,4.02839741,0.03960151
6.9,Yes,2.85,0.8,49.13,29.02,0.5,0.94,157.2,0.52,1.122938002,0.463,4.875863365,0.046710064
6.9,Yes,2.85,0.8,49.13,29.02,0.5,0.94,217,0.52,1.122938002,0.463,0.390262601,0.428779854
6.9,Yes,2.2,1.2,35.3,25.49,0.3,0.96,156.2,0.26,1.122938002,0.232,2.122489335,0.091072212
6.9,NO,3.65,2.3,57.18,43.94,0.23,0.92,328.6,0.18,1.122938002,0.160,-20.46861668,4454.655118
6.9,NO,3.65,3,54.03,47.66,0.46,0.91,319.2,0.31,1.122938002,0.276,-16.38403845,1018.961876
6.9,Yes,2.9,1.5,46.9,33.17,0.36,0.94,114.9,0.31,1.122938002,0.276,4.572352002,0.03235317
6.9,Yes,2.3,1.4,36.25,27.43,0.36,0.96,124.5,0.3,1.122938002,0.267,4.115479545,0.039241267
6.9,Yes,2.2,1.2,35.3,25.49,0.3,0.96,135.6,0.26,1.122938002,0.232,3.104904204,0.056041892
6.9,Yes,3.2,1.8,51.11,37.37,0.36,0.93,123.4,0.3,1.122938002,0.267,4.160908764,0.038369995
6.9,Yes,3.2,1.8,51.11,37.37,0.36,0.93,148.1,0.3,1.122938002,0.267,3.12560976,0.064005353
6.9,NO,2.4,0.8,40.8,25.11,0.5,0.95,232.6,0.5,1.122938002,0.445,-1.390617608,0.9941751
6.9,Yes,2.85,2,43.73,35.39,0.36,0.94,167.9,0.27,1.122938002,0.240,1.60844722,0.121931035
6.9,Yes,2.35,1.5,36.73,28.39,0.36,0.95,170.9,0.29,1.122938002,0.258,1.706069648,0.124794103
6.9,Yes,2.45,1.5,38.58,29.26,0.36,0.95,141.7,0.29,1.122938002,0.258,3.284521269,0.05719829
